author,Author_link,paths
Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,Authors/Albert Einstein.txt
J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,Authors/J.K. Rowling.txt
Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,Authors/Jane Austen.txt
Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,Authors/Marilyn Monroe.txt
André Gide,https://quotes.toscrape.com/author/Andre-Gide,Authors/André Gide.txt
Thomas A. Edison,https://quotes.toscrape.com/author/Thomas-A-Edison,Authors/Thomas A. Edison.txt
Eleanor Roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt,Authors/Eleanor Roosevelt.txt
Steve Martin,https://quotes.toscrape.com/author/Steve-Martin,Authors/Steve Martin.txt
Bob Marley,https://quotes.toscrape.com/author/Bob-Marley,Authors/Bob Marley.txt
Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,Authors/Dr. Seuss.txt
Douglas Adams,https://quotes.toscrape.com/author/Douglas-Adams,Authors/Douglas Adams.txt
Elie Wiesel,https://quotes.toscrape.com/author/Elie-Wiesel,Authors/Elie Wiesel.txt
Friedrich Nietzsche,https://quotes.toscrape.com/author/Friedrich-Nietzsche,Authors/Friedrich Nietzsche.txt
Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,Authors/Mark Twain.txt
Allen Saunders,https://quotes.toscrape.com/author/Allen-Saunders,Authors/Allen Saunders.txt
Pablo Neruda,https://quotes.toscrape.com/author/Pablo-Neruda,Authors/Pablo Neruda.txt
Ralph Waldo Emerson,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson,Authors/Ralph Waldo Emerson.txt
Mother Teresa,https://quotes.toscrape.com/author/Mother-Teresa,Authors/Mother Teresa.txt
Garrison Keillor,https://quotes.toscrape.com/author/Garrison-Keillor,Authors/Garrison Keillor.txt
Jim Henson,https://quotes.toscrape.com/author/Jim-Henson,Authors/Jim Henson.txt
Charles M. Schulz,https://quotes.toscrape.com/author/Charles-M-Schulz,Authors/Charles M. Schulz.txt
William Nicholson,https://quotes.toscrape.com/author/William-Nicholson,Authors/William Nicholson.txt
Jorge Luis Borges,https://quotes.toscrape.com/author/Jorge-Luis-Borges,Authors/Jorge Luis Borges.txt
George Eliot,https://quotes.toscrape.com/author/George-Eliot,Authors/George Eliot.txt
George R.R. Martin,https://quotes.toscrape.com/author/George-R-R-Martin,Authors/George R.R. Martin.txt
C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,Authors/C.S. Lewis.txt
Martin Luther King Jr.,https://quotes.toscrape.com/author/Martin-Luther-King-Jr,Authors/Martin Luther King Jr..txt
James Baldwin,https://quotes.toscrape.com/author/James-Baldwin,Authors/James Baldwin.txt
Haruki Murakami,https://quotes.toscrape.com/author/Haruki-Murakami,Authors/Haruki Murakami.txt
Alexandre Dumas fils,https://quotes.toscrape.com/author/Alexandre-Dumas-fils,Authors/Alexandre Dumas fils.txt
Stephenie Meyer,https://quotes.toscrape.com/author/Stephenie-Meyer,Authors/Stephenie Meyer.txt
Ernest Hemingway,https://quotes.toscrape.com/author/Ernest-Hemingway,Authors/Ernest Hemingway.txt
Helen Keller,https://quotes.toscrape.com/author/Helen-Keller,Authors/Helen Keller.txt
George Bernard Shaw,https://quotes.toscrape.com/author/George-Bernard-Shaw,Authors/George Bernard Shaw.txt
Charles Bukowski,https://quotes.toscrape.com/author/Charles-Bukowski,Authors/Charles Bukowski.txt
Suzanne Collins,https://quotes.toscrape.com/author/Suzanne-Collins,Authors/Suzanne Collins.txt
J.R.R. Tolkien,https://quotes.toscrape.com/author/J-R-R-Tolkien,Authors/J.R.R. Tolkien.txt
Alfred Tennyson,https://quotes.toscrape.com/author/Alfred-Tennyson,Authors/Alfred Tennyson.txt
Terry Pratchett,https://quotes.toscrape.com/author/Terry-Pratchett,Authors/Terry Pratchett.txt
J.D. Salinger,https://quotes.toscrape.com/author/J-D-Salinger,Authors/J.D. Salinger.txt
George Carlin,https://quotes.toscrape.com/author/George-Carlin,Authors/George Carlin.txt
John Lennon,https://quotes.toscrape.com/author/John-Lennon,Authors/John Lennon.txt
W.C. Fields,https://quotes.toscrape.com/author/W-C-Fields,Authors/W.C. Fields.txt
Ayn Rand,https://quotes.toscrape.com/author/Ayn-Rand,Authors/Ayn Rand.txt
Jimi Hendrix,https://quotes.toscrape.com/author/Jimi-Hendrix,Authors/Jimi Hendrix.txt
J.M. Barrie,https://quotes.toscrape.com/author/J-M-Barrie,Authors/J.M. Barrie.txt
E.E. Cummings,https://quotes.toscrape.com/author/E-E-Cummings,Authors/E.E. Cummings.txt
Khaled Hosseini,https://quotes.toscrape.com/author/Khaled-Hosseini,Authors/Khaled Hosseini.txt
Harper Lee,https://quotes.toscrape.com/author/Harper-Lee,Authors/Harper Lee.txt
Madeleine L'Engle,https://quotes.toscrape.com/author/Madeleine-LEngle,Authors/Madeleine L'Engle.txt
